ONS.Code,Local.authority.name,Number.of.defences,Average.defence.condition..1.5.,Average.condition.maintatained.by.EA..1.5.,Proportion.above.required.condiiton,Proportion.maintained.by.EA,,,,,,,,
E06000001,Hartlepool,13,3.54,3.58,61.5%,92.3%,,,,,,,,
E06000002,Middlesbrough,37,2.35,2.17,89.2%,48.6%,,,,,,,,
E06000003,Redcar and Cleveland,98,2.15,2.44,100.0%,9.2%,,,,,,,,
E06000004,Stockton-on-Tees,108,2.58,2.55,91.7%,94.4%,,,,,,,,
E06000005,Darlington,71,3.03,3.33,91.5%,56.3%,,,,,,,,
E06000006,Halton,55,3.15,3.24,98.2%,45.5%,,,,,,,,
E06000007,Warrington,163,2.89,2.73,94.5%,66.9%,,,,,,,,
E06000008,Blackburn with Darwen,90,2.87,3.06,94.4%,36.7%,,,,,,,,
E06000009,Blackpool,3,3.00,3.00,100.0%,33.3%,,,,,,,,
E06000010,"Kingston upon Hull, City of",327,2.89,2.39,86.5%,15.0%,,,,,,,,
E06000011,East Riding of Yorkshire,604,2.98,3.01,86.8%,77.3%,,,,,,,,
E06000012,North East Lincolnshire,181,2.48,2.54,96.7%,84.0%,,,,,,,,
E06000013,North Lincolnshire,597,2.47,2.47,96.1%,96.0%,,,,,,,,
E06000014,York,87,2.29,2.28,96.6%,89.7%,,,,,,,,
E06000015,Derby,125,2.96,2.96,98.4%,20.8%,,,,,,,,
E06000016,Leicester,33,2.58,2.55,97.0%,93.9%,,,,,,,,
E06000017,Rutland,2,2.00,2.00,100.0%,50.0%,,,,,,,,
E06000018,Nottingham,165,2.49,2.49,98.2%,87.3%,,,,,,,,
E06000019,"Herefordshire, County of",133,2.91,2.92,88.0%,65.4%,,,,,,,,
E06000020,Telford and Wrekin,11,3.00,3.00,100.0%,27.3%,,,,,,,,
E06000021,Stoke-on-Trent,1,2.00,2.00,100.0%,100.0%,,,,,,,,
E06000022,Bath and North East Somerset,5,2.20,0.00,100.0%,0.0%,,,,,,,,
E06000023,"Bristol, City of",74,2.36,2.44,98.6%,36.5%,,,,,,,,
E06000024,North Somerset,251,2.38,2.53,94.8%,64.1%,,,,,,,,
E06000025,South Gloucestershire,65,2.65,2.67,95.4%,83.1%,,,,,,,,
E06000026,Plymouth,16,2.63,2.63,100.0%,50.0%,,,,,,,,
E06000027,Torbay,25,2.40,3.00,100.0%,8.0%,,,,,,,,
E06000030,Swindon,26,1.73,1.58,100.0%,73.1%,,,,,,,,
E06000031,Peterborough,301,2.38,2.40,95.7%,86.4%,,,,,,,,
E06000032,Luton,16,2.81,0.00,81.3%,0.0%,,,,,,,,
E06000033,Southend-on-Sea,17,2.88,3.33,94.1%,17.6%,,,,,,,,
E06000034,Thurrock,187,2.80,2.79,95.2%,93.6%,,,,,,,,
E06000035,Medway,229,2.55,2.49,99.1%,48.9%,,,,,,,,
E06000037,West Berkshire,56,2.04,3.00,92.9%,17.9%,,,,,,,,
E06000038,Reading,6,2.67,3.00,100.0%,16.7%,,,,,,,,
E06000039,Slough,26,2.62,2.59,96.2%,84.6%,,,,,,,,
E06000040,Windsor and Maidenhead,74,2.65,2.61,93.2%,87.8%,,,,,,,,
E06000041,Wokingham,2,2.00,2.00,100.0%,100.0%,,,,,,,,
E06000042,Milton Keynes,32,2.94,2.90,100.0%,62.5%,,,,,,,,
E06000044,Portsmouth,4,2.50,2.33,100.0%,75.0%,,,,,,,,
E06000045,Southampton,29,2.38,2.50,93.1%,48.3%,,,,,,,,
E06000046,Isle of Wight,60,2.53,2.13,100.0%,25.0%,,,,,,,,
E06000047,County Durham,90,2.91,2.93,88.9%,88.9%,,,,,,,,
E06000049,Cheshire East,78,3.08,2.94,97.4%,20.5%,,,,,,,,
E06000050,Cheshire West and Chester,321,2.71,2.56,97.8%,67.6%,,,,,,,,
E06000051,Shropshire,166,2.82,2.69,98.8%,50.6%,,,,,,,,
E06000052,Cornwall,523,2.57,2.55,95.6%,68.3%,,,,,,,,
E06000053,Isles of Scilly,30,3.07,0.00,76.7%,0.0%,,,,,,,,
E06000054,Wiltshire,134,2.39,2.28,97.8%,61.2%,,,,,,,,
E06000055,Bedford,13,2.54,2.83,100.0%,46.2%,,,,,,,,
E06000056,Central Bedfordshire,17,3.24,3.33,64.7%,52.9%,,,,,,,,
E06000057,Northumberland,303,2.60,2.58,96.4%,73.6%,,,,,,,,
E06000058,"Bournemouth, Christchurch and Poole",115,2.37,2.38,100.0%,87.8%,,,,,,,,
E06000059,Dorset,399,2.49,2.47,97.5%,76.2%,,,,,,,,
E08000001,Bolton,27,2.85,3.00,100.0%,11.1%,,,,,,,,
E08000002,Bury,42,2.93,2.53,100.0%,35.7%,,,,,,,,
E08000003,Manchester,108,2.87,2.84,90.7%,87.0%,,,,,,,,
E08000004,Oldham,45,3.13,3.00,97.8%,28.9%,,,,,,,,
E08000005,Rochdale,111,2.76,2.65,91.0%,71.2%,,,,,,,,
E08000006,Salford,53,2.68,2.64,100.0%,84.9%,,,,,,,,
E08000007,Stockport,16,3.50,3.20,81.3%,31.3%,,,,,,,,
E08000008,Tameside,35,2.80,2.58,94.3%,54.3%,,,,,,,,
E08000009,Trafford,50,3.28,3.07,88.0%,60.0%,,,,,,,,
E08000010,Wigan,44,2.66,2.64,97.7%,81.8%,,,,,,,,
E08000011,Knowsley,12,3.25,3.14,100.0%,58.3%,,,,,,,,
E08000012,Liverpool,6,3.00,3.00,100.0%,16.7%,,,,,,,,
E08000013,St. Helens,37,2.65,2.64,97.3%,59.5%,,,,,,,,
E08000014,Sefton,73,3.07,3.13,90.4%,52.1%,,,,,,,,
E08000015,Wirral,50,3.10,3.07,100.0%,90.0%,,,,,,,,
E08000016,Barnsley,57,2.70,2.70,96.5%,52.6%,,,,,,,,
E08000017,Doncaster,265,2.72,2.74,91.3%,67.9%,,,,,,,,
E08000018,Rotherham,207,2.40,2.24,97.1%,35.7%,,,,,,,,
E08000019,Sheffield,120,2.30,2.38,97.5%,10.8%,,,,,,,,
E08000021,Newcastle upon Tyne,16,2.56,1.25,100.0%,25.0%,,,,,,,,
E08000023,South Tyneside,5,2.80,2.80,100.0%,100.0%,,,,,,,,
E08000024,Sunderland,3,3.33,3.33,100.0%,100.0%,,,,,,,,
E08000025,Birmingham,118,2.54,2.40,94.9%,59.3%,,,,,,,,
E08000027,Dudley,5,2.80,3.00,80.0%,40.0%,,,,,,,,
E08000028,Sandwell,89,2.78,2.89,86.5%,70.8%,,,,,,,,
E08000029,Solihull,1,2.00,0.00,100.0%,0.0%,,,,,,,,
E08000030,Walsall,8,2.88,3.00,87.5%,50.0%,,,,,,,,
E08000031,Wolverhampton,10,2.90,2.00,100.0%,10.0%,,,,,,,,
E08000032,Bradford,83,2.67,2.72,92.8%,34.9%,,,,,,,,
E08000033,Calderdale,131,2.50,2.38,93.1%,40.5%,,,,,,,,
E08000034,Kirklees,119,2.61,2.45,96.6%,52.1%,,,,,,,,
E08000035,Leeds,152,2.56,2.52,92.8%,49.3%,,,,,,,,
E08000036,Wakefield,235,2.51,2.40,97.4%,56.6%,,,,,,,,
E08000037,Gateshead,2,2.50,2.50,100.0%,100.0%,,,,,,,,
E10000002,Buckinghamshire,46,2.65,2.57,95.7%,45.7%,,,,,,,,
E10000003,Cambridgeshire,1209,2.75,2.76,98.3%,90.2%,,,,,,,,
E10000006,Cumbria,986,2.78,2.52,97.1%,57.2%,,,,,,,,
E10000007,Derbyshire,467,2.85,2.81,92.5%,75.6%,,,,,,,,
E10000008,Devon,1470,2.46,2.31,99.2%,45.9%,,,,,,,,
E10000011,East Sussex,607,2.71,2.76,94.7%,81.4%,,,,,,,,
E10000012,Essex,1300,2.72,2.70,88.8%,82.9%,,,,,,,,
E10000013,Gloucestershire,542,2.62,2.65,98.2%,75.5%,,,,,,,,
E10000014,Hampshire,498,2.62,2.59,94.8%,47.6%,,,,,,,,
E10000015,Hertfordshire,202,2.83,2.62,92.6%,45.0%,,,,,,,,
E10000016,Kent,1107,2.47,2.46,96.0%,79.6%,,,,,,,,
E10000017,Lancashire,879,2.95,2.92,96.5%,69.7%,,,,,,,,
E10000018,Leicestershire,231,2.71,2.69,97.8%,78.8%,,,,,,,,
E10000019,Lincolnshire,3673,2.51,2.51,94.7%,90.8%,,,,,,,,
E10000020,Norfolk,1479,2.82,2.83,97.6%,90.7%,,,,,,,,
E10000021,Northamptonshire,329,2.52,2.56,99.4%,50.2%,,,,,,,,
E10000023,North Yorkshire,712,2.93,2.87,87.1%,82.0%,,,,,,,,
E10000024,Nottinghamshire,382,2.74,2.73,89.8%,90.6%,,,,,,,,
E10000025,Oxfordshire,62,2.29,2.48,96.8%,37.1%,,,,,,,,
E10000027,Somerset,1180,2.72,2.76,93.4%,80.6%,,,,,,,,
E10000028,Staffordshire,186,2.58,2.54,94.6%,83.3%,,,,,,,,
E10000029,Suffolk,648,2.82,2.82,92.9%,86.1%,,,,,,,,
E10000030,Surrey,132,2.61,2.61,86.4%,54.5%,,,,,,,,
E10000031,Warwickshire,97,2.63,2.63,89.7%,69.1%,,,,,,,,
E10000032,West Sussex,368,2.55,2.50,95.4%,58.7%,,,,,,,,
E10000034,Worcestershire,284,2.51,2.42,96.8%,39.8%,,,,,,,,
E12000007,Greater London,3433,2.39,2.44,98.0%,7.9%,,,,,,,,
